model,num_trans,cat_trans,score
XGBClassifier,MinMaxScaler,OrdinalEncoder,0.8758137820906523
XGBClassifier,MinMaxScaler,OneHotEncoder,0.873111411374524
XGBClassifier,StandardScaler,OrdinalEncoder,0.8758137820906523
XGBClassifier,StandardScaler,OneHotEncoder,0.873971256602383
XGBClassifier,Normalizer,OrdinalEncoder,0.8662326495516521
XGBClassifier,Normalizer,OneHotEncoder,0.8689350202677804
CatBoostClassifier,MinMaxScaler,OrdinalEncoder,0.875690947058101
CatBoostClassifier,MinMaxScaler,OneHotEncoder,0.8775334725463703
CatBoostClassifier,StandardScaler,OrdinalEncoder,0.875690947058101
CatBoostClassifier,StandardScaler,OneHotEncoder,0.8775334725463703
CatBoostClassifier,Normalizer,OrdinalEncoder,0.8664783196167547
CatBoostClassifier,Normalizer,OneHotEncoder,0.8669696597469598
RandomForestClassifier,MinMaxScaler,OrdinalEncoder,0.8519837857757032
RandomForestClassifier,MinMaxScaler,OneHotEncoder,0.8516152806780494
RandomForestClassifier,StandardScaler,OrdinalEncoder,0.8514924456454981
RandomForestClassifier,StandardScaler,OneHotEncoder,0.8528436310035622
RandomForestClassifier,Normalizer,OrdinalEncoder,0.8481758997666135
RandomForestClassifier,Normalizer,OneHotEncoder,0.853212136101216
LogisticRegression,MinMaxScaler,OrdinalEncoder,0.8152561110428694
LogisticRegression,MinMaxScaler,OneHotEncoder,0.8561601768824468
LogisticRegression,StandardScaler,OrdinalEncoder,0.8259427588748312
LogisticRegression,StandardScaler,OneHotEncoder,0.8567743520452032
LogisticRegression,Normalizer,OrdinalEncoder,0.7979363714531384
LogisticRegression,Normalizer,OneHotEncoder,0.850141260287434
DecisionTreeClassifier,MinMaxScaler,OrdinalEncoder,0.8169758014985874
DecisionTreeClassifier,MinMaxScaler,OneHotEncoder,0.8269254391352414
DecisionTreeClassifier,StandardScaler,OrdinalEncoder,0.8175899766613438
DecisionTreeClassifier,StandardScaler,OneHotEncoder,0.8249600786144208
DecisionTreeClassifier,Normalizer,OrdinalEncoder,0.8143962658150105
DecisionTreeClassifier,Normalizer,OneHotEncoder,0.809851369610613
